missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999997446696	0.9999999997413787	0.9999999997478504	0.9863537627305662	0.9853817982134063	0.9871975601424042	0.9863851620480858	0.9853861357565161	0.9872616286865366	0.9770309134794833	0.9756737054641906	0.978410845183112	0.969741524733448	0.967992780866725	0.9713966466722299	0.9697415247089988	0.9679927807832199	0.9713966466985555	0.02464
MAR	0.05	lin	mse	0.965683478520672	0.9572909064634637	0.9747343813538181	51561852.65431948	48008837.13953321	55110851.72441319	51443472.0411499	47975467.657928765	55293782.450763926	86788312.79877056	80740190.68457761	91695378.14631929	114305121.99005674	108406924.0816186	121758817.15026638	114305122.08295783	108406924.15023917	121758817.49286862	0.02464
MAR	0.07631578947368421	lin	ev	0.9999999997445858	0.9999999997410025	0.9999999997483937	0.9786641287238651	0.9774335913152404	0.9800499707005562	0.9787063035573823	0.9774863643373761	0.9801786885740501	0.9667598683737357	0.9645596680410221	0.9688160591048709	0.9540525864630769	0.9509981104298956	0.9566184010602653	0.954052586466245	0.9509981104750593	0.9566184010264381	0.037480000000000006
MAR	0.07631578947368421	lin	mse	0.9658057065735859	0.9557052190423405	0.9767991018418041	80598159.69961007	75395990.97187392	84831363.8953325	80439063.6628332	75069348.41807985	84604432.12693009	125592514.66608483	118358326.14032386	134361526.29645884	173589551.91698793	164210160.77963594	183438863.7099068	173589551.90493557	164210160.80774873	183438863.7053776	0.037480000000000006
MAR	0.10263157894736842	lin	ev	0.9999999997446107	0.9999999997408742	0.9999999997489362	0.9706024376919475	0.968740482435267	0.9728709722574267	0.970687554011992	0.9689024004414245	0.9730375845542804	0.9557938045833886	0.9533995942270371	0.957774338725742	0.9407690337159859	0.9379154679259138	0.9445813044162221	0.940769033724347	0.9379154679109719	0.9445813043896136	0.050120000000000005
MAR	0.10263157894736842	lin	mse	0.965936507323556	0.9568843685436269	0.974840033324978	111085078.72693232	102704493.51520681	116665761.50254688	110764365.63026723	102424113.5332507	116470946.63469024	167030230.47657377	158973282.87925807	175736130.61032972	223775172.31338176	209562752.399589	236379541.09222734	223775172.28191817	209562752.43070948	236379541.11465794	0.050120000000000005
MAR	0.12894736842105264	lin	ev	0.9999999997448866	0.9999999997416134	0.9999999997477009	0.9630944565927162	0.9608593237040602	0.9653335601627031	0.9632276313165185	0.9610680596540037	0.9654484918538866	0.9461432719740092	0.9433664513211313	0.948907657387826	0.9264684701110562	0.9205539155932664	0.9324531164583512	0.9264684701079553	0.9205539155869256	0.9324531164121994	0.06324
MAR	0.12894736842105264	lin	mse	0.9663828902324227	0.9593632946341576	0.9754291517219537	139447447.45207942	130705918.75165355	146500971.95125708	138944768.0333975	130717807.2087558	145808508.62021464	203511404.90742004	193326084.3672969	214713285.65706062	277746551.5682496	255563060.07474613	300962845.926579	277746551.5796091	255563060.12701303	300962845.98237437	0.06324
MAR	0.15526315789473683	lin	ev	0.9999999997442837	0.9999999997393171	0.9999999997477724	0.9549734611662634	0.9528585234857769	0.9574771289143547	0.9551073809362773	0.9528148681314492	0.9576094731710414	0.9363511446700976	0.9332256656481562	0.9399440937867054	0.9111429827718696	0.905775153079556	0.9158168127972739	0.911142982768032	0.9057751530824474	0.9158168127779791	0.07566000000000002
MAR	0.15526315789473683	lin	mse	0.9657111008413527	0.9551954183616091	0.9780504265881731	170141145.47904757	159227512.30485657	177853393.8619465	169635062.91150874	158141144.4311584	177327240.67171216	240514488.3552994	227226504.23281437	253271186.9427197	335716654.5785153	318001355.0647079	354885765.18138105	335716654.59273463	318001354.9927366	354885765.43621784	0.07566000000000002
MAR	0.18157894736842106	lin	ev	0.9999999997445606	0.9999999997412774	0.9999999997486202	0.9466677891804561	0.9446024114427498	0.9490532033621608	0.9467946068556771	0.9446108810113184	0.9492172204265449	0.9249860178936111	0.9227259156898715	0.927520504990764	0.8985166564038835	0.8945840828077984	0.9024222259826746	0.898516656389714	0.8945840828083724	0.9024222260494618	0.08847999999999999
MAR	0.18157894736842106	lin	mse	0.9661110740596428	0.9547346184201951	0.9762906539321676	201524794.13673636	192769622.467533	208399557.8965968	201045633.45624912	191986736.1887189	208638715.05876368	283481809.7536399	271874195.09380054	292277239.71880865	383457246.54810584	367959243.8004403	398983563.31613725	383457246.6016716	367959243.78756124	398983563.2274491	0.08847999999999999
MAR	0.20789473684210524	lin	ev	0.9999999997445024	0.9999999997424365	0.9999999997483551	0.9384629487985631	0.9362009055153994	0.940882040488662	0.9386931395822635	0.9362706943660757	0.9411465294855369	0.9146237729925347	0.9120317795706012	0.9169490747343148	0.8836536718023903	0.8791660945239699	0.8878538136176258	0.883653671814116	0.8791660945311414	0.8878538136128037	0.10150000000000002
MAR	0.20789473684210524	lin	mse	0.9640955944513521	0.9502323926087597	0.9767704885749307	232490340.10680258	225012434.10925457	240602881.3615998	231621674.6206955	224045515.4090058	239172789.19067442	322592723.2710864	313076708.0827627	330557141.1418171	439552603.2138739	426028779.1635454	454935066.71903545	439552603.16984725	426028779.16130936	454935066.6036929	0.10150000000000002
MAR	0.23421052631578948	lin	ev	0.9999999997453454	0.9999999997424365	0.9999999997479174	0.9309031520558035	0.928702845215077	0.9332319654471093	0.931152700822788	0.9292225929975104	0.9334614661084297	0.9054643499138638	0.9030219621674489	0.909263880383485	0.8689941286618837	0.8641311122856332	0.8723565138838051	0.8689941286714629	0.8641311122663494	0.8723565139111711	0.11464000000000006
MAR	0.23421052631578948	lin	mse	0.9632095512775449	0.9525313766174567	0.9730455261776633	261085230.71055546	251349895.81183234	269029594.1881458	260141388.07865202	250507006.09610993	267385021.48217708	357249279.5692992	345918031.2709792	364787208.19676226	494947375.8955721	482377692.04361385	513784711.2642584	494947375.85973686	482377691.8111851	513784711.3078463	0.11464000000000006
MAR	0.26052631578947366	lin	ev	0.9999999997447243	0.9999999997410252	0.999999999749034	0.9229537226557789	0.9207500995284327	0.9251466819454321	0.9232551803120786	0.9211624040596137	0.9250634912285421	0.8948007638643878	0.8911831282350333	0.8991154823601523	0.8567747293759109	0.8519934721716786	0.8611241561463714	0.8567747293741311	0.8519934721640624	0.8611241561488762	0.12775999999999998
MAR	0.26052631578947366	lin	mse	0.9651116576454064	0.9574970931237001	0.975129357171129	291058610.31071573	284483569.42677253	297384639.89870566	289920267.8784604	284084848.3757251	295884595.90511185	397463722.48230344	383709670.43944925	406965341.0376879	541096605.3555108	526720133.28615916	558003724.4001343	541096605.3621998	526720133.44768304	558003724.4325297	0.12775999999999998
MAR	0.2868421052631579	lin	ev	0.9999999997462425	0.9999999997430876	0.9999999997502392	0.9153249094131785	0.9130133179776915	0.9181561905266915	0.915621706542442	0.9132033783148354	0.9184767211455808	0.8841075947121918	0.8805179650582216	0.8870792205427855	0.8422687943268338	0.8378637914008744	0.8463780528217051	0.8422687943103782	0.8378637913942549	0.8463780527382123	0.14036
MAR	0.2868421052631579	lin	mse	0.9593850091543882	0.9492461211335556	0.9683009776875505	319971576.6815116	309596506.6965782	328520419.8067251	318850394.4709451	308064169.56053174	328759404.0155604	437943579.5267418	426927015.97840077	452010324.9420069	595961195.0531143	577029494.7559257	612303646.851621	595961195.1147714	577029494.6770341	612303646.8053241	0.14036
MAR	0.3131578947368421	lin	ev	0.9999999997444597	0.999999999741413	0.9999999997485288	0.9088109603972164	0.9067190689090839	0.9116798540761369	0.9091253380367798	0.906876817597444	0.911574484172001	0.8746919085426778	0.870736751763886	0.8788830845063395	0.8294453440835073	0.8244204578954055	0.8335755298315215	0.82944534408364	0.8244204579023392	0.8335755298487452	0.15253999999999995
MAR	0.3131578947368421	lin	mse	0.9651303182029181	0.9520659392512771	0.9732580612802539	344538368.3067141	335384478.43352807	353233928.4936422	343352331.3037924	334917798.41726327	351001298.6860858	473513041.94149077	457013159.5115075	490765168.49641186	644446232.424478	626772151.472349	664137143.7903814	644446232.424089	626772151.4665565	664137143.7913967	0.15253999999999995
MAR	0.3394736842105263	lin	ev	0.9999999997461175	0.9999999997415531	0.9999999997505534	0.9010532640858413	0.8987820583047539	0.9033172659144442	0.9014241862044267	0.8990032941109267	0.9038278254043892	0.8653911424312918	0.8629566908072605	0.86867289407748	0.8157489117309266	0.81073706662276	0.8206593974543002	0.8157489117173107	0.8107370666455879	0.8206593974601963	0.16641999999999993
MAR	0.3394736842105263	lin	mse	0.9634635117748458	0.9557734146741544	0.9719547505154981	373873941.5745161	365231703.2738467	383966281.37373835	372473140.89693743	363586421.63789594	382390296.3557952	508652420.5981178	498517228.6402764	518112635.79359794	696152019.578622	677159367.8851516	719622281.3930283	696152019.6299723	677159367.914007	719622281.402935	0.16641999999999993
MAR	0.3657894736842105	lin	ev	0.9999999997454929	0.9999999997405293	0.9999999997496289	0.8938235670140595	0.8916691800910939	0.8963493797657591	0.8942036313454413	0.8916144726933136	0.8963587001565431	0.8543957477308513	0.8499381318279196	0.8589349348340946	0.8033710023222177	0.7979170257575813	0.8085627552792101	0.8033710023164029	0.7979170257238349	0.8085627552737733	0.17931999999999998
MAR	0.3657894736842105	lin	mse	0.9633454219562232	0.9478397238791467	0.9785225161766293	401179438.8462517	390500924.6025586	412898758.94283676	399743318.4620437	388728911.9162585	410327546.27654564	550197766.0512782	529741986.0124779	567205478.5767907	742839019.2773731	724679748.9409735	762139377.6970526	742839019.2993847	724679748.9708136	762139377.810487	0.17931999999999998
MAR	0.3921052631578947	lin	ev	0.9999999997476087	0.9999999997440933	0.9999999997519439	0.8876279353977288	0.8839193127789087	0.890618940315751	0.8881405085030505	0.8844994789026793	0.8910273370368044	0.8464170532211287	0.8420356991136754	0.85103306965371	0.7879896244493491	0.7825870993645312	0.7939355099413592	0.7879896244663841	0.7825870993116772	0.7939355099599259	0.19149999999999995
MAR	0.3921052631578947	lin	mse	0.9581737703916395	0.9470819532275397	0.968025896568101	424566115.0567949	412735705.1787797	434399726.41965115	422632493.08141017	411526232.8168149	432063181.0173708	580312740.8303998	565077775.2444328	597964794.1893818	800973151.9423653	773521747.4096512	818052309.2771097	800973151.8783685	773521747.3131425	818052309.2946913	0.19149999999999995
MAR	0.4184210526315789	lin	ev	0.9999999997460809	0.9999999997431563	0.9999999997502067	0.8798842973166634	0.8774432836205679	0.88126188957608	0.8803326502261144	0.8782845036463315	0.8817652250880368	0.8358360777973178	0.8333894056465444	0.8383325223425704	0.7777415103076151	0.7725535373242491	0.7833827368311492	0.777741510314541	0.7725535373074579	0.783382736824737	0.2043400000000001
MAR	0.4184210526315789	lin	mse	0.9608980052758567	0.949757222319362	0.9742310260206761	453883888.91758054	445962752.80589736	465049181.3436032	452188528.9945903	443429923.13906723	463448333.8191552	620417903.2133034	612390825.1326901	632028206.1110737	839839120.1229874	816231956.6931772	860155607.5389818	839839120.0962027	816231956.3890939	860155607.6023965	0.2043400000000001
MAR	0.44473684210526315	lin	ev	0.9999999997466129	0.9999999997435379	0.9999999997506155	0.8733685004009376	0.8711761101521144	0.8758900004394605	0.8739173801565225	0.8717191789305836	0.8763804209254743	0.8263021690668044	0.8236082541657949	0.829478740858698	0.7631351096744627	0.7575279479090188	0.7715774537947138	0.763135109665831	0.7575279478932291	0.7715774537991956	0.21745999999999996
MAR	0.44473684210526315	lin	mse	0.9616152402360673	0.9495603783557429	0.9725531598702447	478490225.83266526	468353183.319093	487522668.23516244	476414719.48711324	466821531.2199187	486264270.89110506	656346049.3251886	643861444.6083121	667649889.8117056	894938879.781923	868632597.995863	923204020.898175	894938879.8146564	868632598.0050157	923204020.9234778	0.21745999999999996
MAR	0.47105263157894733	lin	ev	0.9999999997460374	0.9999999997409987	0.999999999751546	0.8656130965566154	0.8628428832130047	0.8683076421826252	0.8662214986039009	0.8634335003889688	0.869070720546687	0.8161566206365711	0.8116652418152812	0.8207880658915301	0.7501115341489382	0.7451776613523311	0.7545693793400132	0.7501115341472634	0.7451776613959228	0.7545693793430092	0.2306
MAR	0.47105263157894733	lin	mse	0.9617792290424646	0.9476661379522326	0.9780166957125809	507762481.54341567	496447434.39461607	519003675.1614368	505463192.4596605	493743052.7528824	516365662.1762038	694672227.0093663	676678850.573557	712222447.591153	944187409.203107	930609818.0331824	964872505.512332	944187409.2099426	930609818.0080924	964872505.5199972	0.2306
MAR	0.4973684210526315	lin	ev	0.9999999997464069	0.9999999997400266	0.9999999997539508	0.8596907892264887	0.8572501822957086	0.8626309249611382	0.8603100545619465	0.858234439638783	0.8630505991645809	0.8074873169895932	0.8041360943927532	0.8114872043592665	0.7383436254879713	0.7313613339167369	0.74639733736912	0.7383436254975225	0.731361333927617	0.7463973374676758	0.24342
