missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999759865114	0.9999999756840421	0.9999999763142384	0.9862444460564554	0.9852348074973747	0.9871949594164546	0.9862480134550373	0.9852812301692158	0.9871858916813732	0.9752024358530171	0.9735995836066094	0.9771202189434909	0.9467851308411219	0.9440648583309412	0.9500151317384422	0.9467851308528641	0.9440648583423159	0.9500151319497094	0.024660000000000005
MAR	0.05	lin	mse	25.17145363462644	24.938373095164998	25.33040375195502	14396331.668593902	13431184.688060623	15234060.76150687	14392580.860218434	13393695.561362797	15247491.15468366	25958831.73213283	23966394.11193762	27784726.42487217	55691121.68053712	52853904.54716493	58352233.068383195	55691121.6683906	52853904.3190838	58352233.081688434	0.024660000000000005
MAR	0.07631578947368421	lin	ev	0.9999999760347771	0.9999999756787751	0.9999999763747448	0.977817081058418	0.9765886145516348	0.9794784935193148	0.9777967324010453	0.976571996031001	0.9795403448211573	0.9655234461272189	0.9634226083853761	0.9676026329158188	0.930152834338414	0.9270728693178492	0.932485154061196	0.9301528343347425	0.9270728693729289	0.9324851539871977	0.03729999999999999
MAR	0.07631578947368421	lin	mse	25.131037889524283	24.94790657472123	25.361019335299893	23222024.901716422	21784474.435221195	24633737.843932685	23243014.295528416	21718777.83799463	24722141.58188445	36101444.95892187	34118459.26474517	38285780.387981385	73113727.64484912	71032931.37409814	76180989.2999435	73113727.64873822	71032931.37282753	76180989.36060244	0.03729999999999999
MAR	0.10263157894736842	lin	ev	0.9999999759929239	0.9999999757106317	0.9999999763082918	0.9692911627651455	0.9677996840793103	0.9708443363434389	0.9692753394851727	0.9677697773063976	0.9708615243213548	0.9549913413958871	0.9535737510870617	0.9570965758535671	0.9150947526670847	0.911511290388348	0.9178849460255273	0.915094752670694	0.9115112905745193	0.9178849460152755	0.05044
MAR	0.10263157894736842	lin	mse	25.1281477211014	24.939941367533585	25.293685198603697	32152164.521254137	30558210.776784778	33806983.787659906	32168242.103799373	30609358.354778603	33711474.59087241	47121801.62465406	44887787.10445916	48536988.67414677	88900416.91107428	86187903.67910641	92149307.44855103	88900416.9071853	86187903.68172508	92149307.45760064	0.05044
MAR	0.12894736842105264	lin	ev	0.9999999760174447	0.999999975647071	0.9999999763565324	0.9621677120905126	0.9606411410862812	0.9641906998235688	0.9621582101766044	0.9605504091533416	0.9641462028193586	0.9465902824968494	0.9447664304894143	0.9490640920223427	0.9041475843470091	0.9003751773850082	0.9077271906791387	0.9041475843518968	0.900375177375861	0.9077271904997208	0.06298000000000001
MAR	0.12894736842105264	lin	mse	25.169450339675517	24.97672564692861	25.411480894727113	39607538.60952478	37218408.23890114	41272140.833309904	39617041.78954708	37208570.74140901	41185111.34769813	55920767.31542081	53178960.69632785	57865602.63334985	100342835.52881894	96598022.04441123	104671540.88407204	100342835.52385214	96598021.98447688	104671540.9072154	0.06298000000000001
MAR	0.15526315789473683	lin	ev	0.9999999760449603	0.9999999755886635	0.9999999764573021	0.953960953179535	0.9524005987467083	0.9556085400007435	0.9539370103445765	0.9524837238041409	0.95572900314009	0.9370418892368917	0.9351161804955379	0.9391400658646736	0.8922077032477841	0.8888169136778378	0.8966479729176156	0.8922077032466222	0.8888169136443367	0.8966479728850436	0.07588000000000002
MAR	0.15526315789473683	lin	mse	25.16077876975614	25.022668367592075	25.399683095847976	48196971.109839156	46455497.26078506	49752602.184516385	48221683.28353179	46584887.47972655	49614464.67970441	65914041.8435235	63544457.31957935	68251426.33836204	112850824.07085247	108254971.29254268	116469241.67648385	112850824.07199551	108254971.34599999	116469241.67485255	0.07588000000000002
