missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999996420569255	0.9999996429371236	0.9999996452422599	0.9825369678736211	0.9823443204788299	0.9827824911780839	0.9826131329565735	0.9823454467812694	0.9828615436227166	0.9648986520746415	0.9639107308683914	0.9664092304862393	0.9100418572512627	0.9074892990696917	0.9137970949355287	0.910041857244902	0.9074892989171434	0.9137970947828229	0.0246
MAR	0.05	lin	mae	3.937112006542722	3.923405386794102	3.956419440293675	438.5291390123851	432.0863500298802	440.82536700230156	437.1603985125638	428.9448249331241	438.49342615342533	646.484455813805	644.6569018320976	652.4502042315567	1659.1659191881677	1609.7084603459575	1706.7812034541566	1659.165919987788	1609.7084590247289	1706.7812031742717	0.0246
MAR	0.05	lin	mse	24.593108847137813	24.393658067962445	24.757384248625474	1199239.6123926572	1186508.1768680154	1203035.535650448	1193983.9580335815	1181060.4449732197	1202958.7908354409	2410167.4512644387	2337113.1423385106	2459502.7815913707	6178880.378613536	5895310.206917746	6375179.141008086	6178880.379049341	5895310.206895317	6375179.15152063	0.0246
MAR	0.05	lin	rmse	4.959098242200426	4.9389936290668	4.975679275096565	1094.9021612326335	1089.2695611592271	1096.8297660304665	1092.5220933377864	1086.7660488684855	1096.794780638311	1552.2568615524917	1528.7619639232626	1568.2801986862457	2485.060621552283	2428.0259897533524	2524.911709547105	2485.0606216492997	2428.0259897487335	2524.91171162887	0.0246
MAR	0.07631578947368421	lin	ev	0.9999996424038227	0.9999996408174817	0.9999996477327522	0.9749063937073584	0.9743132952255478	0.9758751876786782	0.9749427621847314	0.974407604056608	0.9759211173591023	0.9544804974704334	0.9547905930781969	0.9548212354461121	0.8870410858125787	0.8843904083950286	0.8880559211589724	0.8870410858491852	0.8843904084148786	0.8880559211228592	0.0372
MAR	0.07631578947368421	lin	mae	3.9417954723109467	3.9222770161070484	3.9601157409903363	576.5568077585237	568.3545749537082	577.5705107538688	576.0987959114939	568.1208895705187	576.895385354363	808.3164940162912	804.9576310257582	810.2227724613712	1990.9400103553558	1953.3546739062779	2035.1240147397245	1990.9400099493898	1953.354673700763	2035.1240142976933	0.0372
MAR	0.07631578947368421	lin	mse	24.62995097521426	24.424618634851726	24.708607249088505	1722966.1485236944	1662510.3771237133	1775390.5919882546	1720452.6428152374	1659345.2304147584	1768872.2388995271	3126076.752597435	3058154.551351401	3145691.0336616724	7757859.720780037	7597883.146878873	8011098.656780059	7757859.718291752	7597883.138780444	8011098.653023192	0.0372
MAR	0.07631578947368421	lin	rmse	4.96276719048992	4.942126934311959	4.970775316697437	1312.4511720618689	1289.3837198924582	1332.4378379452658	1311.4924857816316	1288.1557477319109	1329.9895634551149	1767.7086553971021	1748.7580025124691	1773.6096057649418	2784.965196047227	2756.4257920137943	2830.3884286048196	2784.9651955994304	2756.4257905447853	2830.388427941153	0.0372
MAR	0.10263157894736842	lin	ev	0.9999996411742421	0.9999996359859245	0.9999996446748866	0.9634234374472405	0.9605872330396942	0.9659585386926921	0.9635196937556636	0.9606850104210937	0.965876523970441	0.9374641375900691	0.9352551162509176	0.9391213941111552	0.8716366499305929	0.8686107912513942	0.8731032368286372	0.8716366499045201	0.8686107912912651	0.8731032367418874	0.0506
MAR	0.10263157894736842	lin	mae	3.94770270132896	3.9334750465995363	3.9648438492499856	720.5329383044043	707.6365051237885	722.2442043797396	719.4225575225596	706.2564760712932	722.5459526945024	982.9310727750978	962.8669556873018	1018.9266459553139	2164.3088620472136	2145.4221900307525	2194.3624574907058	2164.308861173712	2145.4221903297002	2194.3624542181105	0.0506
MAR	0.10263157894736842	lin	mse	24.694437097913156	24.658295721444972	24.988783034343573	2511698.7974682366	2304066.0475754472	2693612.4371653064	2505055.737654903	2309617.141144381	2681789.308176523	4294953.3884533625	4120621.537652931	4412232.1420352105	8813502.888673078	8744821.836783582	8956443.812882494	8813502.890486488	8744821.842761762	8956443.817464542	0.0506
