missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999999984752	0.999999999998459	0.9999999999984915	0.9893372920215511	0.9883008206250161	0.9903369014215941	0.9892982315057886	0.9882173996596484	0.9903510319632742	0.9843111878793672	0.9831823270821576	0.9857012069466402	0.9905740325834828	0.9895176082396389	0.991498629304784	0.9905740325826232	0.9895176082430647	0.9914986293050294	0.024500000000000008
MAR	0.05	lin	mse	0.010022812198685074	0.009940987504857763	0.010116414540976237	70036117.824677	62825633.350275	77593051.27453148	70293059.23026036	62734096.97604869	77927230.29178627	103050253.09469454	93637006.32017052	111553182.59914044	61915696.09800314	55485251.09613447	68606885.90652864	61915696.10357452	55485251.185296744	68606885.91463152	0.024500000000000008
MAR	0.07631578947368421	lin	ev	0.9999999999984752	0.9999999999984625	0.9999999999984902	0.9826270163702269	0.9820407933026818	0.9836777399003633	0.9825650746146043	0.9819031272567371	0.9835955729433322	0.9772212349185125	0.9758530465361196	0.9786976005552791	0.9857287998891746	0.9850340289744379	0.9866328742747902	0.9857287998907688	0.9850340289641305	0.9866328742704099	0.037180000000000005
MAR	0.07631578947368421	lin	mse	0.01001847115012041	0.009943534381095107	0.010105599254004618	114077961.09602956	107788519.50654949	119468540.72514284	114484898.12960483	108077652.23117484	119449147.06649777	149593146.81042993	141056125.32269514	156854383.69060236	93702775.71859659	88399135.28458153	98725145.27255498	93702775.70800169	88399135.2885886	98725145.36805075	0.037180000000000005
MAR	0.10263157894736842	lin	ev	0.9999999999984762	0.9999999999984545	0.9999999999984975	0.9750455653865537	0.9733274997576099	0.9765683450270854	0.9749614294128908	0.9732047024709999	0.9764367371684347	0.9689538660462326	0.9669000617128584	0.970645553476858	0.9801495772640557	0.9788658380874722	0.9817130752530079	0.9801495772664411	0.9788658380875108	0.981713075252968	0.05060000000000001
MAR	0.10263157894736842	lin	mse	0.010025925470474751	0.009925380042583613	0.01012966622871824	163846944.64890966	155201735.16872704	174890980.67815074	164399319.50632998	155942312.01874968	175762527.56026107	203863247.27216092	192453629.4144256	217265959.4024195	130342668.32112923	122132554.31743899	138886203.8994364	130342668.3053514	122132554.3067036	138886203.9353567	0.05060000000000001
MAR	0.12894736842105264	lin	ev	0.999999999998474	0.9999999999984587	0.9999999999984878	0.9682976087993396	0.9669311282289779	0.9698714714164626	0.9681950557206302	0.9668702002947911	0.9696520701510469	0.9619533125029369	0.9600100993092594	0.9637399780566569	0.9756464408933904	0.9743474981577546	0.9767480755030196	0.9756464408972023	0.9743474981526048	0.9767480754893659	0.0629
MAR	0.12894736842105264	lin	mse	0.010033607814761186	0.009940987350922723	0.010108658432730655	208172072.8425256	200146641.33122385	216873044.0313554	208845698.70578834	200958963.78518522	217698321.01685786	249823119.309588	236691511.87896264	260540862.09033334	159902708.95180446	152723276.6266594	169994479.39275524	159902708.92650375	152723276.3482525	169994479.3816796	0.0629
MAR	0.15526315789473683	lin	ev	0.999999999998479	0.9999999999984639	0.9999999999984953	0.9621935693160392	0.9595653460939524	0.9644872423427591	0.9620755952918724	0.9595395909121914	0.9643174322753112	0.9555587757779572	0.9522147941845567	0.9586321581471675	0.9712361534835807	0.9698726276474527	0.9733204007824556	0.9712361534822531	0.9698726276950431	0.9733204007236049	0.07608000000000001
MAR	0.15526315789473683	lin	mse	0.010007130353687983	0.009926233421373477	0.010081845472342633	248291999.9353108	232647603.5776091	264753377.16084903	249067703.28298217	233462621.1494174	266430030.10870898	291861322.7845947	269702194.1343466	311591884.1481723	188905184.57255346	173742377.96117935	200787047.97178936	188905184.58116302	173742378.1037368	200787047.681329	0.07608000000000001
MAR	0.18157894736842106	lin	ev	0.9999999999984744	0.9999999999984504	0.9999999999984961	0.9547373890741142	0.952819416323314	0.956405236901418	0.9545910553632116	0.9527887917323408	0.9562953109220806	0.9475377549942072	0.9454754854813784	0.949536838896409	0.9665222726942669	0.9640341693963512	0.968330749720071	0.9665222726925168	0.9640341693974385	0.9683307497208324	0.08872000000000002
MAR	0.18157894736842106	lin	mse	0.010014775679257652	0.009925148947687262	0.010119008717579564	297146818.63841605	286477790.56190443	310908588.24742264	298108685.24951696	286659831.6314825	311284466.6696084	344425899.8074461	332204280.73995423	360295475.21253765	219812175.63415405	208091615.31523165	233214045.31817925	219812175.64559954	208091615.2627472	233214045.34098914	0.08872000000000002
MAR	0.20789473684210524	lin	ev	0.9999999999984791	0.9999999999984592	0.9999999999984962	0.9474739371794315	0.9458574233919033	0.9495529344686002	0.947293198830083	0.9456458362795245	0.9493436353777779	0.9395953070298223	0.9379725462647784	0.9413472193708005	0.9609789866919825	0.9589033319951632	0.9631615151933072	0.9609789866917642	0.9589033320133009	0.9631615151984304	0.10242000000000007
